trigger,name,T90,fluence,has_lat,reference_nai,nai_dets,bgo_det,lle,n_bins,source_t1,source_t2,bkg_pre_start,bkg_pre_stop,bkg_post_start,bkg_post_stop
bn230409626,GRB230409626,20.22,3.902e-05,False,na,n2|n1|na|n9,b0|b1,False,6,-0.14,15.22,-90.01,-10.01,57.56,137.56
bn230614424,GRB230614424,6.08,2.0123e-05,False,na,na,b1,False,6,-0.01,7.16,-95.13,-15.13,46.55,126.55
bn230802285,GRB230802285,38.15,1.2848e-05,False,n2,n2|n5,b0,False,4,-2.32,26.16,-108.95,-28.95,100.06,180.06
bn230812790,GRB230812790,3.26,0.00027987,False,n0,n6|n3|n7|n0,b0|b1,False,27,-0.01,15.35,-90.78,-10.78,19.67,99.67
bn231020790,GRB231020790,9.34,3.7536e-05,False,n2,na|n2|n9,b1|b0,False,16,-0.14,19.51,-94.62,-14.62,54.49,107.71
bn231030832,GRB231030832,10.75,2.0996e-05,False,n3,n3|n4|n6,b0|b1,False,7,-0.01,10.55,-98.46,-18.46,46.04,126.04
bn240204630,GRB240204630,15.87,1.5915e-05,False,na,na|nb,b1,False,8,6.52,20.6,-89.75,-9.75,49.11,129.11
bn240403498,GRB240403498,35.59,3.642e-05,False,n0,n1|n5|n2|n0,b0,False,15,22.26,44.6,-86.94,-6.94,95.7,175.7
bn240710643,GRB240710643,8.45,1.0126e-05,False,n7,n8|nb|n7,b1,False,8,-0.01,11.51,-99.74,-19.74,47.83,127.83
bn241117845,GRB241117845,64.26,1.578e-05,False,n3,n8|n7|n3|n4|n6,b1|b0,False,2,1.14,45.68,-110.23,-30.23,167.38,247.38
bn241223506,GRB241223506,30.46,6.2659e-05,False,n2,n2|n1,b0,False,12,19.57,42.1,-80.28,-0.28,69.59,149.59
bn250313607,GRB250313607,298.25,8.7791e-05,False,n0,n0|n6|n3|n1|n7|n9,b0|b1,False,19,-0.14,23.16,-101.66,-21.66,112.34,192.34
bn250407659,GRB250407659,6.27,4.5797e-05,False,n4,n4,b0,False,8,0.63,8.95,-91.8,-11.8,41.18,121.18
bn250702413,GRB250702413,52.74,3.6011e-05,False,n6,n7|n6|n8|nb,b1,False,9,0.12,53.81,-89.5,-9.5,118.23,198.23
bn250814432,GRB250814432,15.1,0.00059006,False,n2,n2|n5,b0,False,3,-1.68,7.41,-99.48,-19.48,48.09,128.09
bn250902062,GRB250902062,8.45,2.8585e-05,False,n5,n5|n1,b0,False,9,-0.01,14.13,-90.78,-10.78,41.43,121.43
bn251016999,GRB251016999,7.1,2.2534e-05,False,n3,n3|n6|n7|n4,b0|b1,False,10,-0.01,13.3,-90.52,-10.52,31.19,111.19
bn260105973,GRB260105973,11.32,1.9256e-05,False,n2,n1|n2|n5,b0,False,4,-0.14,5.75,-97.43,-17.43,45.02,125.02
