trigger,n_blocks,n_sig20,pass_ge5,median_sig,max_sig
bn200301320,21,9,YES,14.983363858820578,43.95831104109989
bn220525008,28,9,YES,15.699201838140336,39.554971308820754
bn231030832,28,9,YES,15.114154684920466,47.304702436943025
bn250407659,16,9,YES,22.959623751961217,45.116329959714285
bn081222204,21,8,YES,15.67659633042119,30.681815808351
bn100612726,21,8,YES,14.519065808836544,56.392293754599095
bn111009282,18,8,YES,18.30718602262219,51.32177011664301
bn180723757,13,8,YES,25.376345338051564,71.88789961054978
bn210410037,21,8,YES,18.164792874225597,36.381272687301404
bn170114833,16,7,YES,17.308581028540484,35.98799847774495
bn180427442,12,7,YES,22.662009676425463,69.13626977544361
bn200524211,44,7,YES,11.136889603191964,30.40489934473066
bn170114917,18,6,YES,16.885994397238562,37.87403820398771
bn180703876,21,6,YES,11.144753763491298,31.729543346675303
bn210803497,18,6,YES,16.321032963477506,49.11582046690608
bn230614424,12,6,YES,19.475172907909382,58.70019425709116
bn110605183,9,5,YES,20.566792575905016,33.00249316337811
bn120102095,18,5,YES,14.92764015458878,29.295653824249698
bn160330827,15,5,YES,15.82200385560268,28.83017571696213
bn200227306,28,5,YES,9.877068253568032,34.72243928910736
bn230405832,18,5,YES,14.455999330515269,31.800424310971746
bn240710643,24,5,YES,11.90881378465689,25.51864804523905
bn241117845,10,5,YES,26.756808959452044,41.312448874795244
bn111017657,33,4,no,13.930766151243457,33.71322411265206
bn120130938,12,4,no,10.211312374785798,33.76510558389915
bn131113483,10,4,no,17.437563726432828,26.498315763796356
bn140608153,12,4,no,17.38534421327305,26.6045067423815
bn151021791,16,4,no,16.445647804909882,38.46849999912361
bn171013350,16,4,no,13.163590560167746,50.217270936471145
bn180724807,14,4,no,15.104499033528363,35.271158690833374
bn190726642,14,4,no,16.517206994005107,42.18471222317225
bn211207416,12,4,no,17.38138389743959,32.522160444709506
bn260105973,16,4,no,13.505800008738628,35.67905789832023
bn081125496,8,3,no,18.966101461422316,38.91346986911469
bn101225377,9,3,no,9.097652165600417,42.1469983449373
bn150306993,9,3,no,18.501610828577874,31.494688983172765
bn150630223,9,3,no,13.436834487479626,51.17824837043112
bn151006413,20,3,no,8.328655341519152,29.915010389892874
bn191017391,8,3,no,13.915623026670417,22.14079309593782
bn191129141,18,3,no,13.02875398022338,28.562813276062624
bn230802285,8,3,no,18.23752835988456,32.55490911082385
bn180426549,8,2,no,11.291062716984875,29.231798937636675
bn190222537,8,2,no,12.76883462285896,27.951713320866016
bn200607921,15,2,no,8.436607457473855,27.68717633436631
bn201104001,30,2,no,11.198940097701858,22.066581727533592
bn211116586,12,2,no,13.75512520865296,31.116275170017452
bn221201517,20,2,no,12.610643594823053,26.793296098796624
bn091209001,5,1,no,12.561813539792203,29.313664115905222
bn100130729,16,1,no,9.680741390211534,20.415740344320767
bn100614498,8,1,no,11.374353725598311,21.58427728535735
bn110618366,5,1,no,13.599113957168639,35.15672335726768
bn110928180,12,1,no,9.447807767517222,22.277723337007252
bn120420858,4,1,no,14.841994426923577,21.136461714751032
bn120905657,12,1,no,12.235206710706887,23.936336341244257
bn210723615,6,1,no,14.655957369134418,27.2167420801213
bn130215063,9,0,no,12.213245900512877,19.81493160703659
bn210812699,2,0,no,12.239315657379336,13.265487691862477
bn230320884,10,0,no,9.24222459357658,18.30332574139108
bn250814432,6,0,no,5.756843682667245,15.049817081861201
